px_R,px_L,x_R,x_L
2.3618e-24,-2.7552e-24,1.6811e+05,19949
2.432e-24,-2.73e-24,1.7474e+05,18160
2.3754e-24,-2.7123e-24,1.729e+05,23748
2.4703e-24,-2.718e-24,1.7678e+05,22904
2.3447e-24,-2.7314e-24,1.7132e+05,20834
2.3465e-24,-2.6303e-24,1.7155e+05,29388
2.3451e-24,-2.6199e-24,1.7078e+05,27619
2.3366e-24,-2.7122e-24,1.6966e+05,23072
2.3615e-24,-2.7179e-24,1.7167e+05,21971
2.3298e-24,-2.7277e-24,1.6808e+05,21459
2.4389e-24,-2.6667e-24,1.7538e+05,25504
2.4381e-24,-2.7274e-24,1.7546e+05,20926
2.341e-24,-2.7005e-24,1.7155e+05,24272
2.3414e-24,-2.6073e-24,1.7189e+05,28190
2.3794e-24,-2.7382e-24,1.7386e+05,20916
2.3607e-24,-2.5955e-24,1.7293e+05,31298
2.3612e-24,-2.6717e-24,1.7314e+05,27857
2.3456e-24,-2.7281e-24,1.7087e+05,23727
2.3343e-24,-2.7751e-24,1.6784e+05,18543
2.3452e-24,-2.7482e-24,1.7205e+05,17620
2.3329e-24,-2.7303e-24,1.6907e+05,21907
2.5029e-24,-2.7813e-24,1.805e+05,19290
2.341e-24,-2.7364e-24,1.7169e+05,22734
2.3273e-24,-2.7538e-24,1.6979e+05,16904
2.3541e-24,-2.6496e-24,1.7119e+05,27930
2.3261e-24,-2.7393e-24,1.6694e+05,22542
2.3759e-24,-2.7119e-24,1.7353e+05,24050
2.4436e-24,-2.7342e-24,1.7871e+05,22977
2.4259e-24,-2.7853e-24,1.7568e+05,19069
2.3825e-24,-2.7149e-24,1.7419e+05,24305
2.2878e-24,-2.77e-24,1.6657e+05,19966
2.4372e-24,-2.5754e-24,1.764e+05,33728
2.3247e-24,-2.6309e-24,1.6958e+05,29768
2.3467e-24,-2.7083e-24,1.7307e+05,24402
2.3462e-24,-2.6707e-24,1.7251e+05,26115
2.4489e-24,-2.7196e-24,1.7636e+05,23715
2.4046e-24,-2.6527e-24,1.7461e+05,28871
2.3187e-24,-2.6576e-24,1.6901e+05,27037
2.3352e-24,-2.7351e-24,1.7104e+05,22043
2.3238e-24,-2.6869e-24,1.7236e+05,25145
2.3382e-24,-2.7285e-24,1.7282e+05,22190
2.3411e-24,-2.7547e-24,1.7215e+05,22239
